feature,setter,first_chip,first_isa_version,H11,H12,H13,H14,H15,H16,H17,H18,H19,unmapped_isa_versions_seen,evidence_at_first_real
1DWinogradMode,Set1DWinogradMode,H17,19,STUB,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bce6bb0
2DWinogradMode,Set2DWinogradMode,never (through H19),,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,1;4;10;26;28;31;36,
AlignedKernelPaletteLut,SetAlignedKernelPaletteLut,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc3bc
BroadcastCfg,SetBroadcastCfg,never (through H19),,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
CacheDmaPreEnable,SetCacheDmaPreEnable,H15,8,STUB,STUB,STUB,STUB,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bcd2c68
CcdmaAtomicEn,SetCcdmaAtomicEn,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bd0ca44
CropOffsetForTexture,SetCropOffsetForTexture,H16,17,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,REAL,26;28;31;36,addr=0x20baa9254
CustomCodegenTd,SetCustomCodegenTd,H17,19,n/a,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,26,addr=0x20bce7f70
DP2AddMode,SetDP2AddMode,never (through H19),,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,4;10;26;28;31;36,
DoubleInt8Enable,SetDoubleInt8Enable,H16,17,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bce13d0
FillLowerNEFirst,SetFillLowerNEFirst,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcdbf08
GroupKernelReuse,SetGroupKernelReuse,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bcc9d8c
KernelAsymQuantEn,SetKernelAsymQuantEn,H16,17,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bce1788
KernelDetectZeros,SetKernelDetectZeros,H17,19,STUB,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bce6f44
KernelDmaSrcKBufByp,SetKernelDmaSrcKBufByp,never (through H19),,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
KernelDmaSrcNoReuseHint,SetKernelDmaSrcNoReuseHint,H14,11,n/a,n/a,NOOP,REAL,REAL,n/a,n/a,n/a,n/a,10,addr=0x20bccfaac
KernelDmaSrcPaletteLutDmaCacheHint,SetKernelDmaSrcPaletteLutDmaCacheHint,H15,8,n/a,n/a,DELEGATES,DELEGATES,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccfc80
KernelDmaSrcPaletteLutUserTag,SetKernelDmaSrcPaletteLutUserTag,H14,11,NOOP,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bcdc4f0
KernelPalettizedBits,SetKernelPalettizedBits,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bccad80
KernelPalettizedEn,SetKernelPalettizedEn,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bccad10
KernelSparseBinary,SetKernelSparseBinary,H13,7,STUB,STUB,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bccdc78
KernelSparseBlockSize,SetKernelSparseBlockSize,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcdc030
KernelSparseFmt,SetKernelSparseFmt,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bcc9dac
L2BfrMode,SetL2BfrMode,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bcc982c
L2DstNumInterleavedChannels,SetL2DstNumInterleavedChannels,never (through H19),,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
L2ResultCfgForCompression,SetL2ResultCfgForCompression,H15,8,n/a,n/a,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccf818
L2ResultInterleave,SetL2ResultInterleave,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bcc9c28
L2Src1CfgForCompression,SetL2Src1CfgForCompression,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccbe48
L2Src1DmaDoubleRateMode,SetL2Src1DmaDoubleRateMode,H19,24,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,REAL,1;4;10;26;28;31;36,addr=0x20bcedc08
L2Src1FIFOMode,SetL2Src1FIFOMode,H17,19,STUB,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bce2dec
L2Src1Interleave,SetL2Src1Interleave,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bcc92bc
L2Src2CfgForCompression,SetL2Src2CfgForCompression,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccbe48
L2Src2DmaDoubleRateMode,SetL2Src2DmaDoubleRateMode,H19,24,n/a,n/a,STUB,STUB,STUB,STUB,STUB,STUB,REAL,1;10;26;28;31;36,addr=0x20bcedcbc
